日期,最高温,最低温,天气,风力风向,空气质量指数
2021-05-01 周六,27°,21°,阴~多云,西风2级,20 优
2021-05-02 周日,26°,22°,多云~小雨,东北风2级,17 优
2021-05-03 周一,26°,22°,阴~多云,东南风3级,13 优
2021-05-04 周二,26°,22°,阴~小雨,东北风1级,14 优
2021-05-05 周三,24°,21°,阴,东北风微风,12 优
2021-05-06 周四,26°,22°,多云~晴,东北风2级,14 优
2021-05-07 周五,27°,23°,多云,西北风2级,19 优
2021-05-08 周六,27°,23°,阴~小雨,西北风2级,12 优
2021-05-09 周日,27°,23°,多云,西北风2级,11 优
2021-05-10 周一,28°,23°,阴~多云,西北风微风,14 优
2021-05-11 周二,29°,24°,多云,西北风微风,14 优
2021-04-01 周四,27°,21°,阴~多云,西风微风,19 优
2021-04-02 周五,26°,21°,多云~小雨,西北风微风,18 优
2021-04-03 周六,24°,19°,多云~小雨,北风2级,17 优
2021-04-04 周日,20°,15°,小雨~多云,东北风3级,14 优
2021-04-05 周一,20°,16°,晴,东北风3级,13 优
2021-04-06 周二,20°,17°,多云,东北风3级,14 优
2021-04-07 周三,21°,18°,多云,东风3级,13 优
2021-04-08 周四,22°,17°,阴~小雨,东北风3级,11 优
2021-04-09 周五,19°,18°,阴~小雨,东北风3级,13 优
2021-04-10 周六,22°,18°,小雨,东北风2级,12 优
2021-04-11 周日,26°,20°,阴~晴,东南风2级,13 优
2021-04-12 周一,26°,20°,晴,西北风2级,18 优
2021-04-13 周二,25°,19°,多云~小雨,东北风2级,16 优
2021-04-14 周三,20°,19°,阴~小雨,东北风3级,12 优
2021-04-15 周四,23°,19°,阴,东北风3级,12 优
2021-04-16 周五,23°,19°,阴,东北风2级,19 优
2021-04-17 周六,22°,18°,阴~多云,东北风3级,17 优
2021-04-18 周日,21°,18°,多云,东风4级,23 优
2021-04-19 周一,23°,19°,阴~晴,东风4级,14 优
2021-04-20 周二,25°,20°,多云~晴,东南风4级,12 优
2021-04-21 周三,26°,22°,阴~多云,东风4级,13 优
2021-04-22 周四,27°,21°,多云~小雨,东南风3级,12 优
2021-04-23 周五,25°,21°,阴~小雨,东北风2级,13 优
2021-04-24 周六,24°,20°,阴~多云,东北风3级,16 优
2021-04-25 周日,23°,20°,阴~小雨,东风3级,9 优
2021-04-26 周一,24°,21°,阴,东风3级,10 优
2021-04-27 周二,25°,21°,阴,南风2级,14 优
2021-04-28 周三,23°,19°,阴~中雨,北风1级,12 优
2021-04-29 周四,21°,18°,阴~晴,东北风微风,12 优
2021-04-30 周五,27°,20°,多云~晴,西风2级,17 优
2021-03-01 周一,21°,14°,多云~小雨,西风2级,17 优
2021-03-02 周二,16°,15°,阴~小雨,东北风3级,11 优
2021-03-03 周三,18°,17°,阴~多云,东北风微风,12 优
2021-03-04 周四,19°,18°,阴~小雨,西北风1级,15 优
2021-03-05 周五,21°,18°,多云~小雨,东风微风,17 优
2021-03-06 周六,21°,17°,阴~小雨,北风2级,13 优
2021-03-07 周日,20°,17°,阴~小雨,东北风3级,9 优
2021-03-08 周一,19°,17°,阴~小雨,东北风3级,12 优
2021-03-09 周二,21°,17°,阴~小雨,东北风3级,14 优
2021-03-10 周三,19°,17°,阴~多云,东北风微风,12 优
2021-03-11 周四,22°,17°,晴,东风2级,18 优
2021-03-12 周五,20°,16°,阴,东北风微风,61 良
2021-03-13 周六,18°,17°,阴~多云,东北风3级,22 优
2021-03-14 周日,22°,17°,多云,东风3级,16 优
2021-03-15 周一,24°,16°,多云~晴,东南风2级,16 优
2021-03-16 周二,24°,17°,晴,东北风1级,21 优
2021-03-17 周三,24°,19°,多云~晴,东北风2级,19 优
2021-03-18 周四,23°,19°,阴~多云,东风微风,16 优
2021-03-19 周五,22°,19°,多云,西北风1级,19 优
2021-03-20 周六,22°,16°,阴~小雨,北风2级,18 优
2021-03-21 周日,17°,13°,阴~小雨,东北风微风,11 优
2021-03-22 周一,17°,14°,阴~多云,东北风3级,23 优
2021-03-23 周二,18°,15°,阴~中雨,东风微风,16 优
2021-03-24 周三,20°,14°,阴~多云,西风2级,14 优
2021-03-25 周四,18°,17°,阴~多云,东北风2级,13 优
2021-03-26 周五,23°,17°,多云~晴,东南风2级,11 优
2021-03-27 周六,24°,19°,多云~晴,西北风微风,21 优
2021-03-28 周日,26°,19°,多云,西北风2级,22 优
2021-03-29 周一,25°,20°,多云,西北风微风,18 优
2021-03-30 周二,25°,21°,多云~小雨,西北风2级,19 优
2021-03-31 周三,23°,21°,阴~多云,北风2级,14 优
2021-02-01 周一,21°,15°,多云~晴,西南风1级,17 优
2021-02-02 周二,19°,15°,阴~小雨,东北风3级,23 优
2021-02-03 周三,21°,15°,多云~晴,东风3级,24 优
2021-02-04 周四,21°,16°,多云~晴,东风3级,17 优
2021-02-05 周五,22°,14°,晴,东南风2级,18 优
2021-02-06 周六,21°,17°,晴,东北风2级,23 优
2021-02-07 周日,23°,18°,晴,东风3级,21 优
2021-02-08 周一,20°,16°,阴~小雨,东北风微风,16 优
2021-02-09 周二,18°,17°,阴~小雨,东北风4级,9 优
2021-02-10 周三,20°,17°,多云~大雨,东南风4级,8 优
2021-02-11 周四,19°,16°,阴~小雨,北风2级,11 优
2021-02-12 周五,19°,17°,阴~小雨,东北风3级,20 优
2021-02-13 周六,19°,17°,阴~小雨,东北风3级,14 优
2021-02-14 周日,20°,15°,阴~晴,西北风2级,11 优
2021-02-15 周一,21°,16°,阴~小雨,东北风3级,13 优
2021-02-16 周二,19°,13°,阴~小雨,东南风微风,18 优
2021-02-17 周三,17°,11°,阴~多云,东北风3级,16 优
2021-02-18 周四,16°,11°,多云,东北风3级,14 优
2021-02-19 周五,18°,12°,多云~晴,东风3级,12 优
2021-02-20 周六,20°,13°,多云~晴,东南风1级,17 优
2021-02-21 周日,20°,15°,阴~晴,西风微风,18 优
2021-02-22 周一,23°,17°,晴,东南风1级,22 优
2021-02-23 周二,23°,17°,多云~小雨,东风3级,21 优
2021-02-24 周三,23°,18°,阴~晴,东风3级,12 优
2021-02-25 周四,22°,17°,多云,东南风2级,14 优
2021-02-26 周五,20°,15°,阴~小雨,东北风2级,15 优
2021-02-27 周六,17°,15°,阴~多云,东北风2级,8 优
2021-02-28 周日,19°,17°,阴~晴,东北风2级,9 优
2021-01-01 周五,13°,13°,阴~小雨,东北风3级,13 优
2021-01-02 周六,16°,13°,小雨,东北风3级,16 优
2021-01-03 周日,19°,17°,阴~小雨,东北风3级,16 优
2021-01-04 周一,20°,15°,阴~小雨,东北风2级,16 优
2021-01-05 周二,17°,14°,阴~小雨,东北风3级,15 优
2021-01-06 周三,16°,12°,阴~小雨,东北风3级,14 优
2021-01-07 周四,12°,6°,阴~小雨,东北风3级,14 优
2021-01-08 周五,7°,7°,阴,东北风3级,15 优
2021-01-09 周六,8°,8°,阴,东北风3级,19 优
2021-01-10 周日,14°,12°,阴~小雨,东北风3级,14 优
2021-01-11 周一,13°,9°,阴~小雨,东北风3级,19 优
2021-01-12 周二,12°,8°,阴~晴,东北风2级,33 优
2021-01-13 周三,17°,12°,晴,东南风2级,40 优
2021-01-14 周四,19°,13°,晴,东南风2级,19 优
2021-01-15 周五,20°,15°,晴,东风2级,15 优
2021-01-16 周六,20°,11°,多云~小雨,东北风3级,26 优
2021-01-17 周日,14°,11°,阴~小雨,东北风4级,20 优
2021-01-18 周一,15°,12°,阴~多云,东北风3级,21 优
2021-01-19 周二,19°,15°,多云~晴,东风4级,17 优
2021-01-20 周三,22°,17°,晴,东南风3级,18 优
2021-01-21 周四,23°,19°,多云,东南风2级,16 优
2021-01-22 周五,22°,17°,阴~小雨,东北风微风,15 优
2021-01-23 周六,19°,14°,阴~小雨,北风2级,13 优
2021-01-24 周日,18°,14°,阴~多云,东北风3级,16 优
2021-01-25 周一,19°,15°,阴~晴,东北风2级,16 优
2021-01-26 周二,21°,16°,阴~小雨,东北风2级,17 优
2021-01-27 周三,19°,13°,阴~小雨,东北风3级,12 优
2021-01-28 周四,17°,11°,阴,东北风微风,13 优
2021-01-29 周五,15°,13°,阴~多云,东北风4级,21 优
2021-01-30 周六,19°,14°,晴,东南风3级,15 优
2021-01-31 周日,21°,15°,晴,东南风2级,12 优
2020-12-01 周二,20°,18°,阴~小雨,东北风3级,15 优
2020-12-02 周三,20°,16°,阴~小雨,东北风3级,28 优
2020-12-03 周四,19°,16°,阴~小雨,东北风3级,10 优
2020-12-04 周五,19°,17°,阴~小雨,东北风4级,12 优
2020-12-05 周六,18°,18°,阴~小雨,东北风3级,13 优
2020-12-06 周日,21°,19°,阴~中雨,东北风3级,11 优
2020-12-07 周一,22°,18°,阴~中雨,东北风3级,11 优
2020-12-08 周二,19°,19°,阴~中雨,东北风3级,11 优
2020-12-09 周三,20°,20°,阴~中雨,东北风3级,11 优
2020-12-10 周四,21°,20°,阴~小雨,东北风3级,12 优
2020-12-11 周五,21°,18°,阴~小雨,东北风2级,13 优
2020-12-12 周六,19°,17°,阴~多云,东北风3级,24 优
2020-12-13 周日,20°,17°,多云~小雨,东北风2级,22 优
2020-12-14 周一,18°,15°,阴~小雨,东北风3级,13 优
2020-12-15 周二,16°,15°,阴~小雨,东北风3级,8 优
2020-12-16 周三,16°,15°,阴~中雨,东北风3级,8 优
2020-12-17 周四,17°,17°,阴~小雨,东北风3级,10 优
2020-12-18 周五,19°,16°,阴~小雨,东北风2级,8 优
2020-12-19 周六,17°,15°,阴~小雨,东北风3级,10 优
2020-12-20 周日,17°,15°,阴~小雨,东北风3级,13 优
2020-12-21 周一,18°,15°,小雨,东北风3级,15 优
2020-12-22 周二,20°,19°,阴~小雨,东北风4级,17 优
2020-12-23 周三,21°,18°,阴~小雨,东风2级,17 优
2020-12-24 周四,19°,16°,阴~小雨,东北风2级,19 优
2020-12-25 周五,17°,17°,阴~小雨,东北风3级,20 优
2020-12-26 周六,20°,17°,多云,东风2级,16 优
2020-12-27 周日,21°,18°,阴~小雨,北风2级,18 优
2020-12-28 周一,20°,19°,阴~多云,东风4级,19 优
2020-12-29 周二,23°,11°,阴~小雨,东北风2级,19 优
2020-12-30 周三,12°,7°,阴,东北风3级,10 优
2020-12-31 周四,9°,9°,阴,东北风3级,10 优
2020-11-01 周日,26°,21°,阴~晴,东风4级,31 优
2020-11-02 周一,25°,19°,阴~小雨,东北风3级,16 优
2020-11-03 周二,22°,19°,阴~小雨,东北风3级,20 优
2020-11-04 周三,21°,19°,多云~小雨,东北风3级,13 优
2020-11-05 周四,24°,23°,阴~小雨,东风3级,10 优
2020-11-06 周五,28°,23°,阴~多云,东南风4级,22 优
2020-11-07 周六,26°,20°,阴~中雨,东风3级,35 优
2020-11-08 周日,23°,20°,阴~小雨,东北风3级,22 优
2020-11-09 周一,22°,19°,阴~小雨,东北风4级,19 优
2020-11-10 周二,21°,19°,阴~小雨,东北风3级,12 优
2020-11-11 周三,23°,20°,阴~小雨,东北风4级,10 优
2020-11-12 周四,24°,21°,阴~小雨,东北风4级,10 优
2020-11-13 周五,23°,21°,阴~中雨,东北风3级,11 优
2020-11-14 周六,22°,21°,阴~多云,东北风4级,10 优
2020-11-15 周日,26°,21°,多云,东风3级,13 优
2020-11-16 周一,26°,22°,多云~小雨,东风3级,14 优
2020-11-17 周二,25°,22°,多云~晴,东南风3级,10 优
2020-11-18 周三,27°,21°,晴,东南风2级,11 优
2020-11-19 周四,27°,22°,多云~晴,东风1级,15 优
2020-11-20 周五,25°,22°,阴~小雨,东北风2级,12 优
2020-11-21 周六,25°,22°,阴~晴,东风3级,9 优
2020-11-22 周日,26°,21°,晴~小雨,东北风2级,10 优
2020-11-23 周一,22°,21°,阴~小雨,东北风3级,8 优
2020-11-24 周二,22°,21°,阴~小雨,东北风3级,9 优
2020-11-25 周三,25°,21°,阴~小雨,东风4级,9 优
2020-11-26 周四,25°,19°,多云~小雨,东风3级,10 优
2020-11-27 周五,21°,18°,阴~小雨,东北风3级,10 优
2020-11-28 周六,20°,18°,阴~小雨,东北风3级,8 优
2020-11-29 周日,19°,18°,阴~中雨,东北风4级,9 优
2020-11-30 周一,20°,19°,阴~中雨,东北风4级,9 优
2020-10-01 周四,27°,22°,多云~晴,东风3级,11 优
2020-10-02 周五,28°,23°,晴,东风3级,11 优
2020-10-03 周六,29°,23°,晴~多云,东南风3级,12 优
2020-10-04 周日,29°,24°,多云~小雨,东风2级,11 优
2020-10-05 周一,26°,23°,阴~小雨,东北风3级,10 优
2020-10-06 周二,25°,22°,阴,东北风3级,10 优
2020-10-07 周三,25°,21°,阴~小雨,东北风3级,10 优
2020-10-08 周四,25°,22°,阴~小雨,东北风3级,10 优
2020-10-09 周五,26°,22°,阴~小雨,东北风3级,11 优
2020-10-10 周六,25°,23°,阴~小雨,东北风3级,12 优
2020-10-11 周日,28°,24°,阴~小雨,东北风3级,12 优
2020-10-12 周一,27°,24°,阴~小雨,东北风3级,13 优
2020-10-13 周二,27°,23°,阴~小雨,东北风4级,11 优
2020-10-14 周三,27°,23°,多云~小雨,东风4级,10 优
2020-10-15 周四,26°,23°,阴~小雨,东风4级,10 优
2020-10-16 周五,26°,22°,阴~中雨,东北风3级,11 优
2020-10-17 周六,24°,22°,阴~小雨,东北风3级,9 优
2020-10-18 周日,24°,22°,阴~小雨,东北风3级,10 优
2020-10-19 周一,24°,22°,阴~小雨,东北风3级,10 优
2020-10-20 周二,24°,24°,阴~小雨,东北风3级,11 优
2020-10-21 周三,26°,23°,阴~中雨,东北风3级,11 优
2020-10-22 周四,24°,19°,阴~小雨,东北风3级,9 优
2020-10-23 周五,23°,20°,阴~多云,东北风3级,14 优
2020-10-24 周六,22°,21°,阴~多云,东风4级,16 优
2020-10-25 周日,25°,22°,阴~多云,东风4级,12 优
2020-10-26 周一,26°,22°,多云~小雨,东风4级,11 优
2020-10-27 周二,27°,22°,多云,东风4级,10 优
2020-10-28 周三,27°,22°,阴~小雨,东风3级,10 优
2020-10-29 周四,24°,20°,阴~小雨,东北风3级,11 优
2020-10-30 周五,24°,19°,阴~多云,东北风3级,15 优
2020-10-31 周六,23°,21°,多云,东风3级,11 优
2020-09-01 周二,30°,26°,阴~多云,西风3级,11 优
2020-09-02 周三,33°,25°,阴~小雨,西南风3级,13 优
2020-09-03 周四,30°,25°,阴~多云,西北风2级,16 优
2020-09-04 周五,30°,24°,多云~阴,东北风3级,15 优
2020-09-05 周六,29°,23°,阴~晴,东北风2级,13 优
2020-09-06 周日,29°,23°,多云~晴,西北风2级,14 优
2020-09-07 周一,31°,25°,晴~多云,东南风2级,17 优
2020-09-08 周二,30°,25°,阴~多云,北风1级,14 优
2020-09-09 周三,30°,24°,多云~小雨,西北风1级,11 优
2020-09-10 周四,29°,25°,阴~多云,东南风1级,11 优
2020-09-11 周五,31°,25°,阴~小雨,西风1级,26 优
2020-09-12 周六,29°,25°,阴~小雨,东北风2级,11 优
2020-09-13 周日,30°,25°,阴~小雨,东北风3级,13 优
2020-09-14 周一,30°,25°,阴~晴,东北风3级,11 优
2020-09-15 周二,31°,25°,多云,东南风2级,13 优
2020-09-16 周三,31°,26°,阴~多云,东风1级,13 优
2020-09-17 周四,31°,26°,多云,东南风1级,13 优
2020-09-18 周五,31°,25°,阴~多云,北风2级,10 优
2020-09-19 周六,30°,25°,阴~小雨,东北风2级,8 优
2020-09-20 周日,28°,25°,阴~小雨,东北风2级,8 优
2020-09-21 周一,29°,24°,阴~多云,东北风3级,9 优
2020-09-22 周二,29°,24°,多云,东北风3级,11 优
2020-09-23 周三,29°,23°,多云,东北风2级,12 优
2020-09-24 周四,27°,23°,阴~小雨,东北风2级,9 优
2020-09-25 周五,27°,23°,多云~小雨,东北风2级,10 优
2020-09-26 周六,26°,22°,阴~中雨,东北风2级,9 优
2020-09-27 周日,24°,23°,阴~小雨,东北风2级,8 优
2020-09-28 周一,25°,23°,阴~多云,东北风2级,8 优
2020-09-29 周二,27°,23°,多云~小雨,东北风2级,9 优
2020-09-30 周三,25°,22°,阴~多云,东北风2级,9 优
2020-08-01 周六,33°,26°,阴~多云,东南风3级,9 优
2020-08-02 周日,31°,25°,多云~小雨,东风2级,8 优
2020-08-03 周一,28°,26°,阴~多云,西风3级,8 优
2020-08-04 周二,31°,26°,阴~多云,东风1级,8 优
2020-08-05 周三,31°,26°,阴~多云,东北风1级,8 优
2020-08-06 周四,32°,26°,多云~晴,东南风2级,9 优
2020-08-07 周五,32°,26°,多云,东南风2级,9 优
2020-08-08 周六,31°,25°,阴~多云,东南风2级,10 优
2020-08-09 周日,32°,26°,阴~多云,西风3级,11 优
2020-08-10 周一,31°,26°,阴~多云,东北风1级,10 优
2020-08-11 周二,31°,26°,阴~多云,西风2级,8 优
2020-08-12 周三,31°,26°,阴~晴,西北风2级,8 优
2020-08-13 周四,32°,25°,晴,东北风2级,9 优
2020-08-14 周五,31°,25°,晴~多云,东南风2级,10 优
2020-08-15 周六,31°,25°,多云,东南风2级,9 优
2020-08-16 周日,31°,25°,多云,东南风2级,10 优
2020-08-17 周一,32°,26°,多云,东南风3级,10 优
2020-08-18 周二,32°,26°,多云,东南风3级,9 优
2020-08-19 周三,32°,26°,晴,东南风3级,12 优
2020-08-20 周四,32°,25°,晴,东南风3级,11 优
2020-08-21 周五,32°,25°,多云~小雨,东南风3级,9 优
2020-08-22 周六,29°,25°,阴~中雨,东北风3级,8 优
2020-08-23 周日,30°,26°,阴~多云,西北风3级,10 优
2020-08-24 周一,32°,26°,阴~多云,西风3级,11 优
2020-08-25 周二,33°,26°,阴~多云,西南风3级,18 优
2020-08-26 周三,31°,26°,阴~多云,西南风2级,32 优
2020-08-27 周四,32°,26°,阴~多云,东南风1级,8 优
2020-08-28 周五,31°,26°,阴~多云,东北风1级,9 优
2020-08-29 周六,30°,26°,阴~多云,东风2级,10 优
2020-08-30 周日,31°,25°,阴~晴,东风3级,8 优
2020-08-31 周一,30°,25°,阴~小雨,东北风2级,9 优
2020-07-01 周三,31°,26°,阴~多云,西南风1级,9 优
2020-07-02 周四,31°,26°,阴~小雨,东风1级,8 优
2020-07-03 周五,31°,26°,阴~多云,西南风1级,9 优
2020-07-04 周六,31°,26°,阴~多云,西南风2级,9 优
2020-07-05 周日,31°,26°,阴~多云,西南风2级,10 优
2020-07-06 周一,31°,26°,阴~多云,西南风2级,10 优
2020-07-07 周二,31°,26°,阴~多云,西南风2级,10 优
2020-07-08 周三,31°,27°,阴~多云,西南风2级,11 优
2020-07-09 周四,30°,27°,阴~多云,西南风2级,10 优
2020-07-10 周五,32°,26°,阴~多云,西南风2级,10 优
2020-07-11 周六,32°,26°,阴~多云,西北风2级,11 优
2020-07-12 周日,32°,26°,多云,西北风2级,11 优
2020-07-13 周一,32°,26°,阴~多云,西北风2级,13 优
2020-07-14 周二,32°,26°,阴~多云,东南风2级,14 优
2020-07-15 周三,32°,27°,阴~多云,西风2级,13 优
2020-07-16 周四,32°,26°,阴~多云,西南风2级,13 优
2020-07-17 周五,32°,26°,阴~晴,西南风2级,11 优
2020-07-18 周六,33°,26°,多云,西南风2级,11 优
2020-07-19 周日,32°,26°,多云,西风1级,10 优
2020-07-20 周一,32°,26°,多云~晴,东北风1级,10 优
2020-07-21 周二,32°,26°,多云~晴,东南风1级,10 优
2020-07-22 周三,32°,26°,多云~晴,东南风1级,10 优
2020-07-23 周四,32°,26°,阴~多云,西南风2级,10 优
2020-07-24 周五,33°,27°,多云,西风2级,13 优
2020-07-25 周六,31°,26°,阴~小雨,西风2级,20 优
2020-07-26 周日,31°,26°,阴~多云,西北风1级,11 优
2020-07-27 周一,32°,26°,阴~多云,北风1级,10 优
2020-07-28 周二,30°,25°,阴~小雨,东南风2级,9 优
2020-07-29 周三,31°,26°,多云,东南风3级,9 优
2020-07-30 周四,31°,26°,多云,东南风4级,8 优
2020-07-31 周五,32°,26°,阴~多云,东南风4级,8 优
2020-06-01 周一,28°,24°,阴~小雨,西北风1级,10 优
2020-06-02 周二,29°,25°,阴,西风2级,10 优
2020-06-03 周三,30°,24°,多云~阴,西南风2级,9 优
2020-06-04 周四,30°,25°,多云,西南风2级,9 优
2020-06-05 周五,30°,25°,多云~阴,西南风2级,9 优
2020-06-06 周六,30°,25°,阴~小雨,西南风2级,8 优
2020-06-07 周日,28°,24°,阴~中雨,西北风2级,8 优
2020-06-08 周一,27°,25°,阴,西南风1级,8 优
2020-06-09 周二,28°,25°,阴,南风2级,8 优
2020-06-10 周三,30°,25°,阴~小雨,西南风1级,9 优
2020-06-11 周四,29°,25°,阴,西南风1级,10 优
2020-06-12 周五,31°,25°,多云~晴,东北风1级,9 优
2020-06-13 周六,31°,25°,晴,西北风1级,8 优
2020-06-14 周日,30°,25°,阴~多云,西北风1级,8 优
2020-06-15 周一,30°,25°,阴~多云,西风2级,9 优
2020-06-16 周二,31°,26°,阴~多云,西南风2级,10 优
2020-06-17 周三,31°,25°,阴~多云,西南风2级,13 优
2020-06-18 周四,31°,25°,阴,西南风2级,30 优
2020-06-19 周五,31°,26°,阴,西南风2级,10 优
2020-06-20 周六,31°,25°,阴,西风2级,11 优
2020-06-21 周日,31°,26°,阴,西南风2级,11 优
2020-06-22 周一,31°,26°,阴,西南风2级,12 优
2020-06-23 周二,31°,26°,阴,西南风2级,12 优
2020-06-24 周三,32°,26°,阴~晴,西风2级,11 优
2020-06-25 周四,31°,26°,阴~多云,西风2级,10 优
2020-06-26 周五,31°,26°,阴~多云,西风2级,9 优
2020-06-27 周六,31°,26°,阴~多云,西风2级,9 优
2020-06-28 周日,31°,26°,阴~多云,西风2级,10 优
2020-06-29 周一,31°,26°,阴~多云,西南风2级,10 优
2020-06-30 周二,32°,27°,阴~多云,西南风2级,9 优
